ID,Hotel_name,Marks,City,Satisfaction,Reviews,Price,Distances,Discriptions,Stars,Breakfast
4645,Leonardo Boutique Hotel Krakow Old Town,9.0,OldTown,Wonderful,2517,306,0.9,Single Room,3,Not included
4649,Amber Boutique Hotels - Hotel Amber,9.0,OldTown,Wonderful,944,464,0.35,Single Room,3,Breakfast included
4652,Aparthotel Vanilla,9.1,Lagiewniki,Wonderful,2567,265,5.4,Classic Studio Apartment with balcony,4,Not included
4653,Hotel M29,9.1,OldTown,Wonderful,1599,426,1.3,Standard Double Room,4,Not included
4657,Hotel Perfect,9.1,OldTown,Wonderful,1700,450,1.5,Classic Double Room,4,Not included
4659,MR67 Mayera Rapaporta,9.2,OldTown,Wonderful,1708,496,1.1,Standard Double or Twin Room,4,Not included
4666,Hotel Rubinstein,9.0,OldTown,Wonderful,640,324,1.4,Single Room,4,Not included
4673,MR67 Mayera Rapaporta,9.2,OldTown,Wonderful,1708,496,1.1,Standard Double or Twin Room,4,Not included
4675,Vinfort Aparthotel,9.3,OldTown,Wonderful,254,450,0.25,Standard Apartment,4,Not included
4685,29 Avenue Apartments,9.4,PradnikCzerwony,Wonderful,270,148,2.8,Large Double Room,3,Not included
4688,Hotel Perfect,9.1,OldTown,Wonderful,1700,450,1.5,Classic Double Room,4,Not included
4693,29 Avenue Apartments,9.4,PradnikCzerwony,Wonderful,270,148,2.8,Large Double Room,3,Not included
4696,Hotel Perfect,9.1,OldTown,Wonderful,1700,450,1.5,Classic Double Room,4,Not included
4697,Discover Cracow APARThostel,9.0,OldTown,Wonderful,284,230,0.8,Quadruple Room with Private Bathroom,0,Not included
4698,Hotel Copernicus,9.3,OldTown,Wonderful,340,850,0.8,Standard Single Room,5,Not included
4702,Hotel Wentzl,9.2,OldTown,Wonderful,663,570,0.25,Double Room,4,Not included
4705,Pokoje Gościnne Św. Anny,9.1,OldTown,Wonderful,1212,269,0.25,Double Room,3,Not included
4712,Akacja Pokoje Gościnne,9.4,PradnikBialy,Wonderful,417,150,2.7,Twin Room,0,Not included
4718,Pokoje Gościnne Św. Anny,9.1,OldTown,Wonderful,1212,269,0.25,Double Room,3,Not included
4723,Hotel Wentzl,9.2,OldTown,Wonderful,663,570,0.25,Double Room,4,Not included
4724,Akacja Pokoje Gościnne,9.4,PradnikBialy,Wonderful,417,150,2.7,Twin Room,0,Not included
4727,Ayla Flat,9.2,OldTown,Wonderful,64,200,1.3,One-Bedroom Apartment,3,Not included
4728,ibis Styles Kraków East,9.2,WzgorzaKrzeslawickie,Wonderful,1632,273,8.2,Standard Room with Double Bed,3,Breakfast included
4735,Apartment Centrum Sauna,9.2,OldTown,Wonderful,64,287,0.4,Apartment,4,Not included
4738,Aparthotel Oberża,9.1,OldTown,Wonderful,303,225,1.3,Classic room,3,Not included
4740,Zajazd Srebrna Gora,9.1,Zwierzyniec,Wonderful,595,310,6.7,Double Room,0,Breakfast included
4743,H15 Hotel Francuski,9.4,OldTown,Wonderful,565,513,0.25,Single Room,4,Not included
4747,Vilao Apartments,9.0,OldTown,Wonderful,94,276,1.4,One-Bedroom Apartment,3,Not included
4748,DReAM Boutique Residence,9.1,OldTown,Wonderful,1908,266,0.9,Classic Double Room with 1 or 2 beds,4,Not included
